* Description: Income elasticities used in the demand regression for time steps before the scenario differentiation is applied ;;;
variable;sector;GDPpcPPP;value
Income elasticity;trn_pass;10000;0.8
Income elasticity;trn_pass;20000;0.75
Income elasticity;trn_pass;30000;0.5
Income elasticity;trn_pass;40000;0.1
Income elasticity;trn_aviation_intl;10000;1.1
Income elasticity;trn_aviation_intl;20000;1.3
Income elasticity;trn_aviation_intl;30000;0.8
Income elasticity;trn_aviation_intl;40000;0.3
Income elasticity;trn_freight;10000;1.5
Income elasticity;trn_freight;20000;0.9
Income elasticity;trn_freight;30000;0.4
Income elasticity;trn_freight;40000;0.16
Income elasticity;trn_shipping_intl;10000;0.5
Income elasticity;trn_shipping_intl;20000;0.3
Income elasticity;trn_shipping_intl;30000;0.2
Income elasticity;trn_shipping_intl;40000;0.1
