iso,region
ABW,Central America and Caribbean
AFG,South Asia
AGO,Africa Southern
AIA,Central America and Caribbean
ALA,EU-15
ALB,Europe Non EU
AND,EU-15
ARE,Middle East
ARG,Argentina
ARM,Central Asia
ASM,Southeast Asia
ATA,South America Southern
ATF,EU-15
ATG,Central America and Caribbean
AUS,Australia NZ
AUT,EU-15
AZE,Central Asia
BDI,Africa Eastern
BEL,EU-15
BEN,Africa Western
BES,EU-15
BFA,Africa Western
BGD,South Asia
BGR,EU-12
BHR,Middle East
BHS,Central America and Caribbean
BIH,Europe Non EU
BLM,EU-15
BLR,Europe Eastern
BLZ,Central America and Caribbean
BMU,Central America and Caribbean
BOL,South America Southern
BRA,Brazil
BRB,Central America and Caribbean
BRN,Southeast Asia
BTN,South Asia
BVT,European Free Trade Association
BWA,Africa Southern
CAF,Africa Western
CAN,Canada
CCK,Southeast Asia
CHE,European Free Trade Association
CHL,South America Southern
CHN,China
CIV,Africa Western
CMR,Africa Western
COD,Africa Western
COG,Africa Western
COK,Southeast Asia
COL,Colombia
COM,Africa Eastern
CPV,Africa Western
CRI,Central America and Caribbean
CUB,Central America and Caribbean
CUW,EU-15
CYM,Central America and Caribbean
CYP,EU-12
CXR,Southeast Asia
CZE,EU-12
DEU,EU-15
DJI,Africa Eastern
DMA,Central America and Caribbean
DNK,EU-15
DOM,Central America and Caribbean
DZA,Africa Northern
ECU,South America Southern
EGY,Africa Northern
ERI,Africa Eastern
ESH,Africa Northern
ESP,EU-15
EST,EU-12
ETH,Africa Eastern
FIN,EU-15
FJI,Southeast Asia
FLK,EU-15
FRA,EU-15
FRO,EU-15
FSM,Southeast Asia
GAB,Africa Western
GBR,EU-15
GEO,Central Asia
GGY,EU-15
GHA,Africa Western
GIB,EU-15
GIN,Africa Western
GLP,Central America and Caribbean
GMB,Africa Western
GNB,Africa Western
GNQ,Africa Western
GRC,EU-15
GRD,Central America and Caribbean
GRL,EU-15
GTM,Central America and Caribbean
GUF,South America Northern
GUM,Southeast Asia
GUY,South America Northern
HKG,China
HMD,Australia NZ
HND,Central America and Caribbean
HRV,Europe Non EU
HTI,Central America and Caribbean
HUN,EU-12
IDN,Indonesia
IMN,EU-15
IND,India
IOT,EU-15
IRL,EU-15
IRN,Middle East
IRQ,Middle East
ISL,European Free Trade Association
ISR,Middle East
ITA,EU-15
JAM,Central America and Caribbean
JEY,EU-15
JOR,Middle East
JPN,Japan
KAZ,Central Asia
KEN,Africa Eastern
KGZ,Central Asia
KHM,Southeast Asia
KIR,Southeast Asia
KNA,Central America and Caribbean
KOR,South Korea
KWT,Middle East
LAO,Southeast Asia
LBN,Middle East
LBR,Africa Western
LBY,Africa Northern
LCA,Central America and Caribbean
LIE,European Free Trade Association
LKA,South Asia
LSO,Africa Southern
LTU,EU-12
LUX,EU-15
LVA,EU-12
MAC,China
MAF,EU-15
MAR,Africa Northern
MCO,EU-15
MDA,Europe Eastern
MDG,Africa Eastern
MDV,South Asia
MEX,Mexico
MHL,Southeast Asia
MKD,Europe Non EU
MLI,Africa Western
MLT,EU-12
MMR,Southeast Asia
MNE,Europe Non EU
MNG,Central Asia
MNP,Southeast Asia
MOZ,Africa Southern
MRT,Africa Western
MSR,Central America and Caribbean
MTQ,Central America and Caribbean
MUS,Africa Eastern
MWI,Africa Southern
MYS,Southeast Asia
MYT,Southeast Asia
NAM,Africa Southern
NCL,Southeast Asia
NER,Africa Western
NFK,Southeast Asia
NGA,Africa Western
NIC,Central America and Caribbean
NIU,Southeast Asia
NLD,EU-15
NOR,European Free Trade Association
NPL,South Asia
NRU,Southeast Asia
NZL,Australia NZ
OMN,Middle East
PAK,Pakistan
PAN,Central America and Caribbean
PCN,Southeast Asia
PER,South America Southern
PHL,Southeast Asia
PLW,Southeast Asia
PNG,Southeast Asia
POL,EU-12
PRI,USA
PRK,Southeast Asia
PRT,EU-15
PRY,South America Southern
PSE,Middle East
PYF,Southeast Asia
QAT,Middle East
REU,Africa Eastern
ROU,EU-12
RUS,Russia
RWA,Africa Eastern
SAU,Middle East
SDN,Africa Eastern
SEN,Africa Western
SGP,Southeast Asia
SGS,EU-15
SHN,EU-15
SJM,European Free Trade Association
SLB,Southeast Asia
SLE,Africa Western
SLV,Central America and Caribbean
SMR,EU-15
SOM,Africa Eastern
SPM,EU-15
SRB,Europe Non EU
SSD,Africa Southern
STP,Africa Western
SUR,South America Northern
SVK,EU-12
SVN,EU-12
SWE,EU-15
SWZ,Africa Southern
SXM,EU-15
SYC,Southeast Asia
SYR,Middle East
TCA,EU-15
TCD,Africa Western
TGO,Africa Western
THA,Southeast Asia
TJK,Central Asia
TKL,Southeast Asia
TKM,Central Asia
TLS,Southeast Asia
TON,Southeast Asia
TTO,Central America and Caribbean
TUN,Africa Northern
TUR,Europe Non EU
TUV,Southeast Asia
TWN,Taiwan
TZA,Africa Southern
UGA,Africa Eastern
UKR,Europe Eastern
UMI,USA
URY,South America Southern
USA,USA
UZB,Central Asia
VAT,EU-15
VCT,Central America and Caribbean
VEN,South America Northern
VGB,EU-15
VIR,USA
VNM,Southeast Asia
VUT,Southeast Asia
WLF,EU-15
WSM,Southeast Asia
YEM,Middle East
ZAF,South Africa
ZMB,Africa Southern
ZWE,Africa Southern
