iso,UCD_region
ABW,Latin America
AFG,Southeast Asia
AGO,Africa
AIA,Latin America
ALB,Eastern Europe
AND,Western Europe
ARE,Middle East
ARG,Latin America
ARM,Former Soviet Union
ASM,Southeast Asia
ATG,Latin America
AUS,Australia_NZ
AUT,Western Europe
AZE,Former Soviet Union
BDI,Africa
BEL,Western Europe
BEN,Africa
BFA,Africa
BGD,Southeast Asia
BGR,Eastern Europe
BHR,Middle East
BHS,Latin America
BIH,Eastern Europe
BLR,Former Soviet Union
BLZ,Latin America
BMU,Western Europe
BOL,Latin America
BRA,Brazil
BRB,Latin America
BRN,Southeast Asia
BTN,Southeast Asia
BWA,Africa
CAF,Africa
CAN,Canada
CCK,Southeast Asia
CHE,Western Europe
CHL,Latin America
CHN,China
CIV,Africa
CMR,Africa
COD,Africa
COG,Africa
COK,Australia_NZ
COL,Latin America
COM,Africa
CPV,Africa
CRI,Latin America
CUB,Latin America
CYM,Latin America
CYP,Western Europe
CXR,Southeast Asia
CZE,Eastern Europe
DEU,Western Europe
DJI,Africa
DMA,Latin America
DNK,Western Europe
DOM,Latin America
DZA,Africa
ECU,Latin America
EGY,Africa
ERI,Africa
ESH,Africa
ESP,Western Europe
EST,Former Soviet Union
ETH,Africa
FIN,Western Europe
FJI,Southeast Asia
FLK,Latin America
FRA,Western Europe
FRO,Western Europe
FSM,Southeast Asia
GAB,Africa
GBR,Western Europe
GEO,Former Soviet Union
GHA,Africa
GIB,Western Europe
GIN,Africa
GLP,Latin America
GMB,Africa
GNB,Africa
GNQ,Africa
GRC,Western Europe
GRD,Latin America
GRL,Western Europe
GTM,Latin America
GUF,Latin America
GUM,Southeast Asia
GUY,Latin America
HKG,Southeast Asia
HND,Latin America
HRV,Eastern Europe
HTI,Latin America
HUN,Eastern Europe
IDN,Southeast Asia
IMN,Western Europe
IND,India
IRL,Western Europe
IRN,Middle East
IRQ,Middle East
ISL,Western Europe
ISR,Middle East
ITA,Western Europe
JAM,Latin America
JOR,Middle East
JPN,Japan
KAZ,Former Soviet Union
KEN,Africa
KGZ,Former Soviet Union
KHM,China
KIR,Southeast Asia
KNA,Latin America
KOR,Korea
KWT,Middle East
LAO,Southeast Asia
LBN,Middle East
LBR,Africa
LBY,Africa
LCA,Latin America
LIE,Western Europe
LKA,Southeast Asia
LSO,Africa
LTU,Former Soviet Union
LUX,Western Europe
LVA,Former Soviet Union
MAC,Southeast Asia
MAR,Africa
MCO,Western Europe
MDA,Former Soviet Union
MDG,Africa
MDV,Southeast Asia
MEX,Latin America
MHL,Southeast Asia
MKD,Eastern Europe
MLI,Africa
MLT,Western Europe
MMR,Southeast Asia
MNE,Eastern Europe
MNG,China
MNP,Southeast Asia
MOZ,Africa
MRT,Africa
MSR,Latin America
MTQ,Western Europe
MUS,Africa
MWI,Africa
MYS,Southeast Asia
MYT,Africa
NAM,Africa
NCL,Southeast Asia
NER,Africa
NFK,Australia_NZ
NGA,Africa
NIC,Latin America
NIU,Australia_NZ
NLD,Western Europe
NOR,Western Europe
NPL,Southeast Asia
NRU,Southeast Asia
NZL,Australia_NZ
OMN,Middle East
PAK,Southeast Asia
PAN,Latin America
PCN,Southeast Asia
PER,Latin America
PHL,Southeast Asia
PLW,Southeast Asia
PNG,Southeast Asia
POL,Eastern Europe
PRI,USA
PRK,China
PRT,Western Europe
PRY,Latin America
PSE,Middle East
PYF,Southeast Asia
QAT,Middle East
REU,Africa
ROU,Eastern Europe
RUS,Former Soviet Union
RWA,Africa
SAU,Middle East
SDN,Africa
SEN,Africa
SGP,Southeast Asia
SHN,Africa
SJM,Western Europe
SLB,Southeast Asia
SLE,Africa
SLV,Latin America
SMR,Western Europe
SOM,Africa
SPM,Canada
SRB,Eastern Europe
STP,Africa
SUR,Latin America
SVK,Eastern Europe
SVN,Eastern Europe
SWE,Western Europe
SWZ,Africa
SYC,Africa
SYR,Middle East
TCA,Latin America
TCD,Africa
TGO,Africa
THA,Southeast Asia
TJK,Former Soviet Union
TKL,Australia_NZ
TKM,Former Soviet Union
TLS,Southeast Asia
TON,Southeast Asia
TTO,Latin America
TUN,Africa
TUR,Western Europe
TUV,Southeast Asia
TWN,Southeast Asia
TZA,Africa
UGA,Africa
UKR,Former Soviet Union
URY,Latin America
USA,USA
UZB,Former Soviet Union
VAT,Western Europe
VCT,Latin America
VEN,Latin America
VGB,Latin America
VIR,Latin America
VNM,China
VUT,Southeast Asia
WLF,Australia_NZ
WSM,Southeast Asia
YEM,Middle East
ZAF,Africa
ZMB,Africa
ZWE,Africa
ATF,Southeast Asia
BES,Latin America
BLM,Latin America
BVT,Latin America
CUW,Latin America
GGY,Western Europe
HMD,Australia_NZ
IOT,Southeast Asia
JEY,Western Europe
MAF,Latin America
SGS,Latin America
SSD,Africa
SXM,Latin America
UMI,Southeast Asia
ALA,Western Europe
ATA,Latin America
